timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,cost_pv_capex_hour_eur,cost_pv_om_eur,emissions_pv_kg,heat_pump_heat_kwh,heat_pump_electric_demand_kwh,cost_heat_pump_eur,emissions_heat_pump_kg,bess_soc_kwh,bess_soc_pct,bess_charge_kwh,bess_discharge_kwh,cost_bess_eur,tess_soc_kwh,tess_soc_pct,tess_charge_kwh,tess_discharge_kwh,cost_tess_eur,emissions_tess_kg
25.10,00:00,0.3798,0.3798,1.5414,0.0,0.0,0.0269,0.2566,0.0,0.0042,0.0,0.0,0.0,14.72,0.018,0.0,0.0,0.0,0.0,0.0,0.0,1.281,39.06,0.0,0.3798,0.1732,9.5316,42.36,0.0,1.5414,0.0385,0.0
25.10,01:00,0.4593,0.4593,1.5414,0.0,0.0,0.0269,0.2929,0.0,0.0051,0.0,0.0,0.0,14.59,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.8469,25.82,0.0,0.4593,0.2095,7.8143,34.73,0.0,1.5414,0.0385,0.0
25.10,02:00,0.5466,0.5466,2.82,0.0,0.0,0.0269,0.3646,0.0,0.006,0.0,0.0,0.0,14.47,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.3304,10.07,0.0,0.5466,0.2492,4.6781,20.79,0.0,2.82,0.0705,0.0
25.10,03:00,0.4877,0.4877,2.8961,0.1755,0.0338,0.0269,0.2935,0.0049,0.0083,0.0,0.0,0.0,14.5,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0353,1.08,0.0,0.3122,0.1424,1.4593,6.49,0.0,2.8961,0.0724,0.0
25.10,04:00,0.5038,2.1238,3.0783,2.0904,0.0906,0.0269,0.6363,0.0585,0.0589,0.0,0.0,0.0,14.21,0.018,0.0,0.0,3.3533,1.6199,0.4527,0.0,0.0038,0.12,0.0,0.0334,0.0152,1.4287,6.35,1.5884,1.3134,0.0328,0.0
25.10,05:00,0.7225,2.9366,3.6981,2.933,0.1385,0.0269,0.8359,0.0821,0.0822,0.0,0.0,0.0,13.75,0.018,0.0,0.0,4.5833,2.2142,0.6187,0.0,0.0004,0.01,0.0,0.0036,0.0016,1.9528,8.68,2.171,1.2858,0.0321,0.0
25.10,06:00,0.6665,3.7513,5.1183,3.7509,0.1283,0.0269,1.0794,0.105,0.105,0.0,0.0,0.0,13.2,0.018,0.0,0.0,6.3855,3.0848,0.862,0.0,0.0,0.0,0.0,0.0004,0.0002,2.7206,12.09,3.0247,1.7575,0.0439,0.0
25.10,07:00,0.8378,4.5305,6.4717,4.5305,0.1614,0.0269,1.2995,0.1269,0.1269,0.0,0.0,0.0,12.59,0.018,0.0,0.0,7.644,3.6927,1.0319,0.0,0.0,0.0,0.0,0.0,0.0,3.2568,14.47,3.6208,2.4486,0.0612,0.0
25.10,08:00,0.7717,3.5802,6.0796,3.4831,0.13,0.0269,1.0567,0.0975,0.1002,0.0971,0.0,0.0,13.08,0.018,0.001,0.002662,5.9821,2.8085,0.8076,0.0,0.0,0.0,0.0,0.0,0.0,2.5487,11.33,2.8336,2.9311,0.0733,0.0
25.10,09:00,0.7253,3.6797,5.7147,3.2887,0.0644,0.0269,1.048,0.0921,0.1028,0.391,0.0,0.0,14.9,0.018,0.0039,0.010712,6.4996,2.9544,0.8774,0.0,0.0,0.0,0.0,0.0,0.0,2.7692,12.31,3.0787,2.2939,0.0573,0.0
25.10,10:00,0.5817,3.1067,5.4957,2.6824,0.0303,0.0269,0.9121,0.0751,0.0867,0.4243,0.0,0.0,15.14,0.018,0.0042,0.011627,5.7065,2.525,0.7704,0.0,0.0,0.0,0.0,0.0,0.0,2.4313,10.81,2.7031,2.4923,0.0623,0.0
25.10,11:00,0.5581,3.0992,5.2776,2.8176,0.0533,0.0269,0.9481,0.0789,0.0866,0.2816,0.0,0.0,14.38,0.018,0.0028,0.007715,5.8699,2.5411,0.7924,0.0,0.0,0.0,0.0,0.0,0.0,2.5009,11.12,2.7805,2.1882,0.0547,0.0
25.10,12:00,0.5313,2.8047,5.0507,2.3886,0.0222,0.0269,0.8457,0.0669,0.0783,0.4161,0.0,0.0,15.25,0.018,0.0042,0.011401,5.3197,2.2734,0.7182,0.0,0.0,0.0,0.0,0.0,0.0,2.2665,10.07,2.5199,2.2508,0.0563,0.0
25.10,13:00,0.5903,2.9443,4.9513,2.5913,0.0457,0.0269,0.8919,0.0726,0.0822,0.353,0.0,0.0,14.45,0.018,0.0035,0.009672,5.5317,2.3539,0.7468,0.0,0.0,0.0,0.0,0.0,0.0,2.3568,10.47,2.6203,2.0399,0.051,0.0
25.10,14:00,1.0101,3.2204,4.8433,3.1037,0.1721,0.0269,0.9695,0.0869,0.0901,0.1166,0.0,0.0,12.65,0.018,0.0012,0.003196,5.1721,2.2103,0.6982,0.0,0.0,0.0,0.0,0.0,0.0,2.2036,9.79,2.4499,2.1212,0.053,0.0
25.10,15:00,1.1244,3.5741,4.9358,3.5067,0.2036,0.0269,1.0561,0.0982,0.1,0.0674,0.0,0.0,12.29,0.018,0.0007,0.001846,5.6098,2.4497,0.7573,0.0,0.0,0.0,0.0,0.0,0.0,2.3901,10.62,2.6573,1.9833,0.0496,0.0
25.10,16:00,0.8381,3.264,5.0112,3.264,0.1615,0.0269,0.9938,0.0914,0.0914,0.0,0.0,0.0,11.6,0.018,0.0,0.0,5.4342,2.426,0.7336,0.0,0.0,0.0,0.0,0.0,0.0,2.3153,10.29,2.5741,2.1511,0.0538,0.0
25.10,17:00,0.7686,3.4753,5.2463,3.4753,0.1481,0.0269,1.0563,0.0973,0.0973,0.0,0.0,0.0,11.47,0.018,0.0,0.0,6.0088,2.7067,0.8112,0.0,0.0,0.0,0.0,0.0,0.0,2.5601,11.38,2.8463,2.0838,0.0521,0.0
25.10,18:00,0.6124,3.29,5.4185,3.29,0.118,0.0269,1.0193,0.0921,0.0921,0.0,0.0,0.0,11.41,0.018,0.0,0.0,5.9173,2.6775,0.7988,0.0,0.0,0.0,0.0,0.0,0.0,2.5211,11.21,2.8029,2.3041,0.0576,0.0
25.10,19:00,0.5062,3.2716,5.471,3.2716,0.0975,0.0269,1.0205,0.0916,0.0916,0.0,0.0,0.0,12.47,0.018,0.0,0.0,6.0838,2.7653,0.8213,0.0,0.0,0.0,0.0,0.0,0.0,2.592,11.52,2.8818,2.269,0.0567,0.0
25.10,20:00,0.4713,3.1905,5.4671,3.1905,0.0908,0.0269,0.9979,0.0893,0.0893,0.0,0.0,0.0,13.12,0.018,0.0,0.0,5.9551,2.7192,0.8039,0.0,0.0,0.0,0.0,0.0,0.0,2.5372,11.28,2.8208,2.3328,0.0583,0.0
25.10,21:00,0.3675,2.986,5.3017,2.986,0.0708,0.0269,0.947,0.0836,0.0836,0.0,0.0,0.0,13.5,0.018,0.0,0.0,5.7346,2.6185,0.7742,0.0,0.0,0.0,0.0,0.0,0.0,2.4433,10.86,2.7164,2.2835,0.0571,0.0
25.10,22:00,0.3789,2.5585,4.7227,2.5585,0.073,0.0269,0.8202,0.0716,0.0716,0.0,0.0,0.0,13.72,0.018,0.0,0.0,4.7951,2.1796,0.6473,0.0,0.0,0.0,0.0,0.0,0.0,2.043,9.08,2.2714,2.1989,0.055,0.0
25.10,23:00,0.3389,7.9543,13.4199,3.4804,0.0653,0.0269,1.9309,0.0975,0.0975,0.0,0.0,0.0,13.79,0.018,0.0,0.0,13.1459,5.9754,1.7747,0.0,1.64,50.0,0.0,0.0,0.0,11.25,50.0,1.5647,1.8387,0.046,0.0
26.10,00:00,0.3379,0.3379,2.9093,0.0,0.0,0.0269,0.2717,0.0,0.0037,0.0,0.0,0.0,13.66,0.018,0.0,0.0,0.0,0.0,0.0,0.0,1.3207,40.26,0.0,0.3379,0.1541,8.0126,35.61,0.0,2.9093,0.0727,0.0
26.10,01:00,0.3694,0.3694,2.3714,0.0,0.0,0.0269,0.2726,0.0,0.0041,0.0,0.0,0.0,13.31,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.9715,29.62,0.0,0.3694,0.1685,5.3745,23.89,0.0,2.3714,0.0593,0.0
26.10,02:00,0.4767,0.4767,2.4587,0.0,0.0,0.0269,0.3238,0.0,0.0052,0.0,0.0,0.0,12.95,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.521,15.88,0.0,0.4767,0.2174,2.641,11.74,0.0,2.4587,0.0615,0.0
26.10,03:00,0.5432,0.6672,2.5218,0.1749,0.0098,0.0269,0.3758,0.0049,0.0103,0.0,0.0,0.0,12.33,0.018,0.0,0.0,0.2752,0.124,0.0372,0.0,0.0557,1.7,0.0,0.4923,0.2245,0.1173,0.52,0.1304,2.3769,0.0594,0.0
26.10,04:00,0.4719,2.6844,2.7023,2.6318,0.0808,0.0269,0.8184,0.0737,0.0743,0.0,0.0,0.0,12.01,0.018,0.0,0.0,4.9338,2.2125,0.6661,0.0,0.006,0.18,0.0,0.0527,0.024,2.1021,9.34,2.3371,0.1055,0.0026,0.0
26.10,05:00,0.664,1.857,3.2984,1.8514,0.1268,0.0269,0.5824,0.0518,0.0519,0.0,0.0,0.0,11.77,0.018,0.0,0.0,2.6723,1.193,0.3608,0.0,0.0006,0.02,0.0,0.0056,0.0026,1.1386,5.06,1.2658,1.8919,0.0473,0.0
26.10,06:00,0.741,3.8688,4.7287,3.8682,0.1426,0.0269,1.1635,0.1083,0.1083,0.0,0.0,0.0,11.38,0.018,0.0,0.0,7.0376,3.1278,0.9501,0.0,0.0001,0.0,0.0,0.0006,0.0003,2.9984,13.33,3.3336,1.0247,0.0256,0.0
26.10,07:00,0.7128,3.4438,5.9614,3.4437,0.1373,0.0269,1.0866,0.0964,0.0964,0.0,0.0,0.0,10.17,0.018,0.0,0.0,6.1994,2.731,0.8369,0.0,0.0,0.0,0.0,0.0001,0.0,2.6413,11.74,2.9365,2.6986,0.0675,0.0
26.10,08:00,0.7677,3.4425,5.6432,3.4335,0.1462,0.0269,1.0883,0.0961,0.0964,0.009,0.0,0.0,9.94,0.018,0.0001,0.000247,6.2055,2.6748,0.8377,0.0,0.0,0.0,0.0,0.0,0.0,2.6439,11.75,2.9394,2.3772,0.0594,0.0
26.10,09:00,0.6056,2.9236,5.2587,2.7569,0.0846,0.0269,0.9291,0.0772,0.0818,0.1667,0.0,0.0,10.89,0.018,0.0017,0.004568,5.4705,2.318,0.7385,0.0,0.0,0.0,0.0,0.0,0.0,2.3307,10.36,2.5913,2.3795,0.0595,0.0
26.10,10:00,0.518,2.8269,5.0263,2.6647,0.0686,0.0269,0.9187,0.0746,0.0791,0.1621,0.0,0.0,11.1,0.018,0.0016,0.004443,5.5644,2.3089,0.7512,0.0,0.0,0.0,0.0,0.0,0.0,2.3708,10.54,2.6358,2.0977,0.0524,0.0
26.10,11:00,0.573,2.6186,4.7823,2.14,0.0182,0.0269,0.8006,0.0599,0.073,0.4786,0.0,0.0,13.06,0.018,0.0048,0.013114,5.0324,2.0457,0.6794,0.0,0.0,0.0,0.0,0.0,0.0,2.1441,9.53,2.3837,2.1337,0.0533,0.0
26.10,12:00,0.5582,2.5816,4.5815,2.1498,0.0243,0.0269,0.802,0.0602,0.072,0.4318,0.0,0.0,12.88,0.018,0.0043,0.011833,5.0385,2.0235,0.6802,0.0,0.0,0.0,0.0,0.0,0.0,2.1467,9.54,2.3866,1.9297,0.0482,0.0
26.10,13:00,0.6523,2.5937,4.4866,1.6181,0.0,0.0269,0.7582,0.0453,0.072,0.9756,0.0,0.0,16.64,0.018,0.0098,0.026732,4.8537,1.9415,0.6553,0.0,0.0,0.0,0.0,0.0,0.0,2.068,9.19,2.2991,1.932,0.0483,0.0
26.10,14:00,1.0024,2.9427,4.404,1.9403,0.0,0.0269,0.7537,0.0543,0.0818,1.0024,0.0,0.0,17.03,0.018,0.01,0.027466,4.8314,1.9403,0.6522,0.0,0.0,0.0,0.0,0.0,0.0,2.0585,9.15,2.2885,1.8612,0.0465,0.0
26.10,15:00,1.0667,3.0908,4.4627,2.0135,0.0,0.0269,0.7715,0.0564,0.0859,1.0773,0.0,0.0,17.03,0.018,0.0108,0.029519,4.9592,2.0242,0.6695,0.0,0.0,0.0,0.0,0.0,0.0,2.1129,9.39,2.3491,1.8526,0.0463,0.0
26.10,16:00,0.942,3.0328,4.5426,3.0328,0.1815,0.0269,0.9513,0.0849,0.0849,0.0,0.0,0.0,9.27,0.018,0.0,0.0,5.0179,2.0908,0.6774,0.0,0.0,0.0,0.0,0.0,0.0,2.1379,9.5,2.3769,1.9016,0.0475,0.0
26.10,17:00,0.9041,3.1575,4.7468,3.1575,0.1742,0.0269,0.9912,0.0884,0.0884,0.0,0.0,0.0,8.4,0.018,0.0,0.0,5.3631,2.2534,0.724,0.0,0.0,0.0,0.0,0.0,0.0,2.285,10.16,2.5404,1.9241,0.0481,0.0
26.10,18:00,0.6985,3.0335,4.9569,3.0335,0.1346,0.0269,0.9748,0.0849,0.0849,0.0,0.0,0.0,7.62,0.018,0.0,0.0,5.5108,2.3351,0.744,0.0,0.0,0.0,0.0,0.0,0.0,2.3479,10.44,2.6104,2.0565,0.0514,0.0
26.10,19:00,0.5944,2.9594,5.0258,2.9594,0.1145,0.0269,0.9593,0.0829,0.0829,0.0,0.0,0.0,6.87,0.018,0.0,0.0,5.5341,2.365,0.7471,0.0,0.0,0.0,0.0,0.0,0.0,2.3579,10.48,2.6214,2.1131,0.0528,0.0
26.10,20:00,0.4705,2.8749,5.058,2.8749,0.0906,0.0269,0.9417,0.0805,0.0805,0.0,0.0,0.0,6.52,0.018,0.0,0.0,5.5783,2.4044,0.7531,0.0,0.0,0.0,0.0,0.0,0.0,2.3767,10.56,2.6423,2.1221,0.0531,0.0
26.10,21:00,0.3905,2.6674,4.8953,2.6674,0.0752,0.0269,0.8806,0.0747,0.0747,0.0,0.0,0.0,5.96,0.018,0.0,0.0,5.2369,2.2769,0.707,0.0,0.0,0.0,0.0,0.0,0.0,2.2313,9.92,2.4807,2.139,0.0535,0.0
26.10,22:00,0.43,2.3754,4.363,2.3754,0.0828,0.0269,0.782,0.0665,0.0665,0.0,0.0,0.0,5.59,0.018,0.0,0.0,4.4743,1.9453,0.604,0.0,0.0,0.0,0.0,0.0,0.0,1.9063,8.47,2.1194,2.0081,0.0502,0.0
26.10,23:00,0.3733,7.6455,13.2535,3.267,0.0719,0.0269,1.9009,0.0915,0.0915,0.0,0.0,0.0,5.36,0.018,0.0,0.0,12.8978,5.6322,1.7412,0.0,1.64,50.0,0.0,0.0,0.0,11.25,50.0,1.3599,1.7157,0.0429,0.0
27.10,00:00,0.3795,0.3795,2.5492,0.0,0.0,0.0269,0.2817,0.0,0.0042,0.0,0.0,0.0,5.38,0.018,0.0,0.0,0.0,0.0,0.0,0.0,1.2813,39.06,0.0,0.3795,0.173,8.4125,37.39,0.0,2.5492,0.0637,0.0
27.10,01:00,0.4284,0.4284,1.9102,0.0,0.0,0.0269,0.288,0.0,0.0047,0.0,0.0,0.0,5.38,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.8765,26.72,0.0,0.4284,0.1954,6.2863,27.94,0.0,1.9102,0.0478,0.0
27.10,02:00,0.5706,0.5706,1.9848,0.0,0.0,0.0269,0.3547,0.0,0.0063,0.0,0.0,0.0,5.42,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.3372,10.28,0.0,0.5706,0.2602,4.0785,18.13,0.0,1.9848,0.0496,0.0
27.10,03:00,0.6921,0.6921,2.0002,0.3735,0.072,0.0269,0.3122,0.0105,0.014,0.0,0.0,0.0,5.45,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0361,1.1,0.0,0.3187,0.1453,1.8549,8.24,0.0,2.0002,0.05,0.0
27.10,04:00,0.6081,1.0614,2.223,1.0274,0.1106,0.0269,0.3548,0.0288,0.0291,0.0,0.0,0.0,5.36,0.018,0.0,0.0,1.0517,0.4533,0.142,0.0,0.0039,0.12,0.0,0.0341,0.0155,0.4481,1.99,0.4982,1.6695,0.0417,0.0
27.10,05:00,0.7211,2.6857,2.8124,2.682,0.1382,0.0269,0.8128,0.0751,0.0751,0.0,0.0,0.0,5.17,0.018,0.0,0.0,4.5773,1.9645,0.6179,0.0,0.0004,0.01,0.0,0.0036,0.0017,1.9502,8.67,2.1682,0.4033,0.0101,0.0
27.10,06:00,0.7237,2.6331,4.1067,2.6327,0.1394,0.0269,0.8315,0.0737,0.0737,0.0,0.0,0.0,4.96,0.018,0.0,0.0,4.4679,1.9094,0.6032,0.0,0.0,0.0,0.0,0.0004,0.0002,1.9036,8.46,2.1164,1.7552,0.0439,0.0
27.10,07:00,0.8922,3.7745,5.263,3.7744,0.1719,0.0269,1.1701,0.1057,0.1057,0.0,0.0,0.0,5.3,0.018,0.0,0.0,6.7446,2.8823,0.9105,0.0,0.0,0.0,0.0,0.0,0.0,2.8736,12.77,3.1948,1.7132,0.0428,0.0
27.10,08:00,0.7399,2.7049,5.0062,2.5016,0.1034,0.0269,0.8357,0.07,0.0756,0.2033,0.0,0.0,6.5,0.018,0.002,0.00557,4.5979,1.9649,0.6207,0.0,0.0,0.0,0.0,0.0,0.0,1.959,8.71,2.178,2.5862,0.0647,0.0
27.10,09:00,0.687,2.8475,4.5604,2.6929,0.1026,0.0269,0.9106,0.0754,0.0796,0.1546,0.0,0.0,6.86,0.018,0.0015,0.004237,5.3149,2.1605,0.7175,0.0,0.0,0.0,0.0,0.0,0.0,2.2645,10.06,2.5176,1.7631,0.0441,0.0
27.10,10:00,0.5868,2.2831,4.2879,1.8052,0.021,0.0269,0.6987,0.0505,0.0636,0.478,0.0,0.0,10.02,0.018,0.0048,0.013096,4.2748,1.6963,0.5771,0.0,0.0,0.0,0.0,0.0,0.0,1.8213,8.09,2.0249,2.038,0.051,0.0
27.10,11:00,0.5855,2.3961,4.0882,1.7135,0.0,0.0269,0.7209,0.048,0.0667,0.6826,0.0,0.0,12.86,0.018,0.0068,0.018703,4.6531,1.8106,0.6282,0.0,0.0,0.0,0.0,0.0,0.0,1.9825,8.81,2.2041,1.6392,0.041,0.0
27.10,12:00,0.5315,2.04,3.8565,1.3429,0.0,0.0269,0.628,0.0376,0.0567,0.6971,0.0,0.0,13.94,0.018,0.007,0.0191,3.9373,1.5085,0.5315,0.0,0.0,0.0,0.0,0.0,0.0,1.6775,7.46,1.865,1.7843,0.0446,0.0
27.10,13:00,0.7142,2.3565,3.783,1.2396,0.0,0.0269,0.6769,0.0347,0.0653,1.1169,0.0,0.0,17.31,0.018,0.0112,0.030604,4.3192,1.6423,0.5831,0.0,0.0,0.0,0.0,0.0,0.0,1.8402,8.18,2.0459,1.5098,0.0377,0.0
27.10,14:00,0.8558,2.3221,3.7013,0.8312,0.0,0.0269,0.6258,0.0233,0.0641,1.4909,0.0,0.0,19.88,0.018,0.0149,0.04085,3.8857,1.4663,0.5246,0.0,0.0,0.0,0.0,0.0,0.0,1.6555,7.36,1.8406,1.6562,0.0414,0.0
27.10,15:00,0.9647,2.6562,3.8403,2.3981,0.1361,0.0269,0.8237,0.0671,0.0742,0.2581,0.0,0.0,11.7,0.018,0.0026,0.007072,4.4656,1.6915,0.6029,0.0,0.0,0.0,0.0,0.0,0.0,1.9026,8.46,2.1153,1.49,0.0372,0.0
27.10,16:00,0.8848,2.4734,3.9113,2.4734,0.1705,0.0269,0.8222,0.0693,0.0693,0.0,0.0,0.0,9.63,0.018,0.0,0.0,4.178,1.5886,0.564,0.0,0.0,0.0,0.0,0.0,0.0,1.7801,7.91,1.9791,1.7124,0.0428,0.0
27.10,17:00,0.8086,2.6051,4.0794,2.6051,0.1558,0.0269,0.8762,0.0729,0.0729,0.0,0.0,0.0,9.51,0.018,0.0,0.0,4.7069,1.7965,0.6354,0.0,0.0,0.0,0.0,0.0,0.0,2.0054,8.91,2.2296,1.6021,0.0401,0.0
27.10,18:00,0.5964,2.3807,4.256,2.3807,0.1149,0.0269,0.8336,0.0667,0.0667,0.0,0.0,0.0,9.44,0.018,0.0,0.0,4.6571,1.7843,0.6287,0.0,0.0,0.0,0.0,0.0,0.0,1.9842,8.82,2.206,1.8049,0.0451,0.0
27.10,19:00,0.5022,2.3741,4.3474,2.3741,0.0967,0.0269,0.8433,0.0665,0.0665,0.0,0.0,0.0,9.39,0.018,0.0,0.0,4.8671,1.8719,0.6571,0.0,0.0,0.0,0.0,0.0,0.0,2.0737,9.22,2.3055,1.7858,0.0446,0.0
27.10,20:00,0.3866,2.2316,4.3814,2.2316,0.0745,0.0269,0.8112,0.0625,0.0625,0.0,0.0,0.0,9.5,0.018,0.0,0.0,4.7787,1.8451,0.6451,0.0,0.0,0.0,0.0,0.0,0.0,2.036,9.05,2.2636,1.8663,0.0467,0.0
27.10,21:00,0.3293,2.1049,4.2342,2.1049,0.0634,0.0269,0.7702,0.0589,0.0589,0.0,0.0,0.0,9.55,0.018,0.0,0.0,4.5634,1.7756,0.6161,0.0,0.0,0.0,0.0,0.0,0.0,1.9443,8.64,2.1616,1.8324,0.0458,0.0
27.10,22:00,0.3414,1.8548,3.7811,1.8548,0.0658,0.0269,0.6754,0.0519,0.0519,0.0,0.0,0.0,9.21,0.018,0.0,0.0,3.8594,1.5135,0.521,0.0,0.0,0.0,0.0,0.0,0.0,1.6443,7.31,1.8281,1.7499,0.0437,0.0
27.10,23:00,0.3359,6.9579,12.9665,2.9087,0.0647,0.0269,1.8482,0.0814,0.0814,0.0,0.0,0.0,9.2,0.018,0.0,0.0,12.6044,4.982,1.7016,0.0,1.64,50.0,0.0,0.0,0.0,11.25,50.0,1.1178,1.4799,0.037,0.0
28.10,00:00,0.3398,0.3398,2.0488,0.0,0.0,0.0269,0.2511,0.0,0.0037,0.0,0.0,0.0,9.23,0.018,0.0,0.0,0.0,0.0,0.0,0.0,1.3188,40.21,0.0,0.3398,0.155,8.9682,39.86,0.0,2.0488,0.0512,0.0
28.10,01:00,0.3522,0.3522,1.7603,0.0,0.0,0.0269,0.2495,0.0,0.0039,0.0,0.0,0.0,9.24,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.9859,30.06,0.0,0.3522,0.1606,7.0081,31.15,0.0,1.7603,0.044,0.0
28.10,02:00,0.4412,0.4412,1.8701,0.0,0.0,0.0269,0.2928,0.0,0.0049,0.0,0.0,0.0,9.38,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.5689,17.35,0.0,0.4412,0.2012,4.9272,21.9,0.0,1.8701,0.0468,0.0
28.10,03:00,0.4863,0.4863,1.9421,0.0,0.0,0.0269,0.3152,0.0,0.0053,0.0,0.0,0.0,9.64,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.1094,3.33,0.0,0.4863,0.2217,2.7677,12.3,0.0,1.9421,0.0486,0.0
28.10,04:00,0.5185,0.5185,2.1987,0.4152,0.08,0.0269,0.227,0.0116,0.0128,0.0,0.0,0.0,10.01,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0117,0.36,0.0,0.1034,0.0471,0.3245,1.44,0.0,2.1987,0.055,0.0
28.10,05:00,0.5995,2.5444,2.7897,2.5334,0.1134,0.0269,0.8113,0.0709,0.0711,0.0,0.0,0.0,10.34,0.018,0.0,0.0,4.7456,1.9449,0.6407,0.0,0.0013,0.04,0.0,0.0111,0.005,2.0219,8.99,2.2479,0.292,0.0073,0.0
28.10,06:00,0.5578,2.2736,4.0141,2.2724,0.1072,0.0269,0.761,0.0636,0.0636,0.0,0.0,0.0,10.61,0.018,0.0,0.0,4.1693,1.7158,0.5629,0.0,0.0001,0.0,0.0,0.0012,0.0005,1.7764,7.9,1.975,1.8197,0.0455,0.0
28.10,07:00,0.6238,3.2065,4.8882,3.2063,0.1202,0.0269,1.0488,0.0898,0.0898,0.0,0.0,0.0,11.1,0.018,0.0,0.0,6.2499,2.5826,0.8437,0.0,0.0,0.0,0.0,0.0001,0.0001,2.6629,11.83,2.9605,1.5988,0.04,0.0
28.10,08:00,0.6396,2.4285,4.6938,2.4015,0.118,0.0269,0.8124,0.0672,0.068,0.027,0.0,0.0,11.49,0.018,0.0003,0.000739,4.3647,1.7888,0.5892,0.0,0.0,0.0,0.0,0.0,0.0,1.8596,8.27,2.0675,2.3966,0.0599,0.0
28.10,09:00,0.583,2.5542,4.2467,2.3971,0.082,0.0269,0.8303,0.0671,0.0714,0.1571,0.0,0.0,12.5,0.018,0.0016,0.004305,4.8887,1.9713,0.66,0.0,0.0,0.0,0.0,0.0,0.0,2.0829,9.26,2.3157,1.6737,0.0418,0.0
28.10,10:00,0.6392,2.2498,3.9938,2.1107,0.0963,0.0269,0.7331,0.0591,0.0629,0.1391,0.0,0.0,12.64,0.018,0.0014,0.003812,4.0265,1.6106,0.5436,0.0,0.0,0.0,0.0,0.0,0.0,1.7155,7.62,1.9073,1.8746,0.0469,0.0
28.10,11:00,0.7284,2.4184,3.7765,2.1186,0.0826,0.0269,0.7417,0.0593,0.0675,0.2998,0.0,0.0,13.92,0.018,0.003,0.008214,4.2418,1.69,0.5726,0.0,0.0,0.0,0.0,0.0,0.0,1.8073,8.03,2.0093,1.544,0.0386,0.0
28.10,12:00,0.6338,2.1194,3.5968,1.9312,0.0859,0.0269,0.6787,0.0541,0.0592,0.1881,0.0,0.0,13.47,0.018,0.0019,0.005154,3.7435,1.4855,0.5054,0.0,0.0,0.0,0.0,0.0,0.0,1.595,7.09,1.7732,1.6265,0.0407,0.0
28.10,13:00,0.7135,2.2936,3.5311,2.0119,0.0832,0.0269,0.7043,0.0563,0.0641,0.2817,0.0,0.0,14.2,0.018,0.0028,0.007718,3.9817,1.58,0.5375,0.0,0.0,0.0,0.0,0.0,0.0,1.6965,7.54,1.8861,1.4355,0.0359,0.0
28.10,14:00,1.018,2.4913,3.4654,2.2766,0.1548,0.0269,0.7372,0.0637,0.0696,0.2148,0.0,0.0,13.88,0.018,0.0021,0.005885,3.6833,1.4733,0.4972,0.0,0.0,0.0,0.0,0.0,0.0,1.5693,6.97,1.7447,1.5268,0.0382,0.0
28.10,15:00,1.1081,2.7359,3.5199,2.6552,0.1979,0.0269,0.8195,0.0743,0.0766,0.0807,0.0,0.0,13.11,0.018,0.0008,0.002211,4.0043,1.6278,0.5406,0.0,0.0,0.0,0.0,0.0,0.0,1.7061,7.58,1.8968,1.4124,0.0353,0.0
28.10,16:00,0.9465,2.5756,3.6019,2.5756,0.1823,0.0269,0.7957,0.0721,0.0721,0.0,0.0,0.0,12.66,0.018,0.0,0.0,3.9262,1.6291,0.53,0.0,0.0,0.0,0.0,0.0,0.0,1.6728,7.43,1.8598,1.5355,0.0384,0.0
28.10,17:00,0.8634,2.6762,3.7764,2.6762,0.1663,0.0269,0.8313,0.0749,0.0749,0.0,0.0,0.0,12.68,0.018,0.0,0.0,4.3146,1.8129,0.5825,0.0,0.0,0.0,0.0,0.0,0.0,1.8383,8.17,2.0438,1.5055,0.0376,0.0
28.10,18:00,0.728,2.6117,3.9843,2.6117,0.1403,0.0269,0.8241,0.0731,0.0731,0.0,0.0,0.0,12.64,0.018,0.0,0.0,4.4267,1.8837,0.5976,0.0,0.0,0.0,0.0,0.0,0.0,1.886,8.38,2.0968,1.6545,0.0414,0.0
28.10,19:00,0.6559,2.6037,4.0861,2.6037,0.1264,0.0269,0.8264,0.0729,0.0729,0.0,0.0,0.0,12.5,0.018,0.0,0.0,4.5385,1.9478,0.6127,0.0,0.0,0.0,0.0,0.0,0.0,1.9337,8.59,2.1498,1.6974,0.0424,0.0
